Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1601103600.0,2020-09-26 07-AM,ETHUSD,354.36,354.57,354.36,354.57,0.0,0.0
1601100000.0,2020-09-26 06-AM,ETHUSD,352.89,355.8,352.35,354.36,1030.67,365154.74
1601096400.0,2020-09-26 05-AM,ETHUSD,351.9,356.17,351.9,352.89,1965.33,694587.29
1601092800.0,2020-09-26 04-AM,ETHUSD,351.01,351.9,349.29,351.9,784.64,275059.02
1601089200.0,2020-09-26 03-AM,ETHUSD,352.21,353,351,351.01,379.35,133624.66
1601085600.0,2020-09-26 02-AM,ETHUSD,351.9,352.72,350.93,352.21,458.35,161187.37
1601082000.0,2020-09-26 01-AM,ETHUSD,350.95,353.05,350.11,351.9,1097.69,386831.16
1601078400.0,2020-09-26 12-AM,ETHUSD,351.9,353.81,350.71,350.95,986.5,347426.66
1601074800.0,2020-09-25 11-PM,ETHUSD,352.36,353.45,350.22,351.9,5075.75,1785266.95
1601071200.0,2020-09-25 10-PM,ETHUSD,356.99,357.59,351.75,352.36,2231.02,790841.79
1601067600.0,2020-09-25 09-PM,ETHUSD,354.9,357,353.42,356.99,1465.93,519613.66
1601064000.0,2020-09-25 08-PM,ETHUSD,354.15,358,354.15,354.9,3444.56,1227575.37
1601060400.0,2020-09-25 07-PM,ETHUSD,353.99,355.26,352.53,354.15,2701.59,955080.61
1601056800.0,2020-09-25 06-PM,ETHUSD,349.99,356,349.97,353.99,6738.26,2379661.96
1601053200.0,2020-09-25 05-PM,ETHUSD,346.5,350.65,346.16,349.99,2096.89,731721.77
1601049600.0,2020-09-25 04-PM,ETHUSD,347.28,348.92,345.51,346.5,982.3,340858.0
1601046000.0,2020-09-25 03-PM,ETHUSD,345,347.7,344.1,347.28,1539.71,533257.51
1601042400.0,2020-09-25 02-PM,ETHUSD,343.82,345.3,340.61,345,1764.61,605082.63
1601038800.0,2020-09-25 01-PM,ETHUSD,344.75,345.9,342.62,343.82,925.15,318540.13
1601035200.0,2020-09-25 12-PM,ETHUSD,344.1,348.66,343.69,344.75,1583.63,548378.37
1601031600.0,2020-09-25 11-AM,ETHUSD,340.65,345.5,339.33,344.1,3930.91,1350784.65
1601028000.0,2020-09-25 10-AM,ETHUSD,340,342.49,339.6,340.65,852.59,290560.22
1601024400.0,2020-09-25 09-AM,ETHUSD,338.86,341.23,337.84,340,970.7,329977.9
1601020800.0,2020-09-25 08-AM,ETHUSD,342.99,343.06,337.59,338.86,4067.09,1384948.31
1601017200.0,2020-09-25 07-AM,ETHUSD,344.87,344.89,342.82,342.99,1205.51,414517.36
1601013600.0,2020-09-25 06-AM,ETHUSD,340.62,345,338.2,344.87,5742.78,1964252.32
1601010000.0,2020-09-25 05-AM,ETHUSD,345,345,340.62,340.62,2825.76,969359.83
1601006400.0,2020-09-25 04-AM,ETHUSD,344.99,345.9,344.52,345,409.84,141462.86
1601002800.0,2020-09-25 03-AM,ETHUSD,347,348.6,344.98,344.99,1452.09,504458.07
1600999200.0,2020-09-25 02-AM,ETHUSD,346.35,347.48,346.11,347,656.81,227872.53
1600995600.0,2020-09-25 01-AM,ETHUSD,347.69,348.64,346.17,346.35,1571.1,545992.16
1600992000.0,2020-09-25 12-AM,ETHUSD,349.22,350.4,346.8,347.69,2260.88,787327.43
1600988400.0,2020-09-24 11-PM,ETHUSD,351.1,351.6,348.6,349.22,1475.21,516306.23
1600984800.0,2020-09-24 10-PM,ETHUSD,345.9,353.4,345.47,351.1,3911.93,1369530.58
