Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1601337600,9/29/20,ETHUSD,353.85,355.2,350.61,350.61,5683.91,2008931.93
1601251200,9/28/20,ETHUSD,357.3,369.08,351.52,353.85,52341.01,18879812.37
1601164800,9/27/20,ETHUSD,354.17,362.28,347.46,357.3,44496.3,15823711.71
1601078400,9/26/20,ETHUSD,351.9,356.17,346.25,354.17,20431.22,7195325.76
1600992000,9/25/20,ETHUSD,349.22,358,337.59,351.9,56495.47,19647392.4
1600905600,9/24/20,ETHUSD,320.12,353.4,317,349.22,85074.11,28570525.64
1600819200,9/23/20,ETHUSD,344.18,344.5,313.42,320.12,101885.55,33762334.85
1600732800,9/22/20,ETHUSD,339.87,346.9,335.33,344.18,52243.79,17867387.48
1600646400,9/21/20,ETHUSD,371,376.74,331,339.87,109265.9,38246851.52
1600560000,9/20/20,ETHUSD,385.11,385.11,365.12,371,40537.18,15091986.13
1600473600,9/19/20,ETHUSD,384.45,388.41,377.31,385.11,20264.54,7756985.03
1600387200,9/18/20,ETHUSD,389.39,392.39,375.66,384.45,45931.79,17573063.87
1600300800,9/17/20,ETHUSD,364.99,394.68,363.29,389.39,83100.62,31745613.93
1600214400,9/16/20,ETHUSD,364.09,373.78,355.11,364.99,70775.94,25764445.58
1600128000,9/15/20,ETHUSD,377.14,382.48,362.5,364.09,73932.67,27539726.13
1600041600,9/14/20,ETHUSD,366.41,384.15,356.15,377.14,75629.62,28044019.55
1599955200,9/13/20,ETHUSD,387.91,390,353.5,366.41,87789.55,32475805.55
1599868800,9/12/20,ETHUSD,373.88,388,365.31,387.91,48281.89,18176520.19
1599782400,9/11/20,ETHUSD,368.23,375.29,355.64,373.88,59017.28,21614068.46
1599696000,9/10/20,ETHUSD,351.29,377.77,350.8,368.23,100417.37,36911428.98
1599609600,9/9/20,ETHUSD,337.25,359,330.77,351.29,67169.89,23369438.29
1599523200,9/8/20,ETHUSD,353.39,356.41,325.64,337.25,92714.01,31350334.16
